x  y  frame  time(s)
148 86 1998 79.444076
150 88 2004 79.682647
150 88 2005 79.722409
150 88 2006 79.762171
150 88 2007 79.801933
148 88 2013 80.040503
148 88 2014 80.080265
148 88 2015 80.120027
146 88 2017 80.199551
144 88 2019 80.279074
142 88 2020 80.318836
136 90 2023 80.438121
134 92 2024 80.477883
124 96 2028 80.636930
120 96 2029 80.676692
112 100 2033 80.835739
110 100 2034 80.875501
106 102 2038 81.034548
108 102 2045 81.312881
106 102 2046 81.352643
106 102 2049 81.471928
106 106 2066 82.147879
106 108 2067 82.187641
106 108 2068 82.227402
106 110 2072 82.386450
108 112 2075 82.505735
108 112 2084 82.863591
108 112 2086 82.943115
108 112 2091 83.141924
110 112 2094 83.261209
110 114 2095 83.300971
116 116 2098 83.420256
138 120 2106 83.738351
150 122 2114 84.056445
152 122 2122 84.374540
152 122 2123 84.414301
152 122 2124 84.454063
152 122 2125 84.493825
152 122 2126 84.533587
152 122 2128 84.613110
110 196 2240 89.066432
152 104 2258 89.782144
152 104 2260 89.861668
152 104 2261 89.901430
152 104 2262 89.941192
152 104 2263 89.980953
152 104 2265 90.060477
152 106 2267 90.140001
150 106 2270 90.259286
150 106 2272 90.338810
150 106 2273 90.378571
150 106 2274 90.418333
150 106 2275 90.458095
150 106 2276 90.497857
150 106 2277 90.537619
150 106 2278 90.577380
150 104 2279 90.617142
150 106 2280 90.656904
150 106 2282 90.736428
268 100 2297 91.332855
268 100 2307 91.730473
114 132 2308 91.770234
114 132 2315 92.048567
114 132 2316 92.088329
214 194 2319 92.207614
114 132 2320 92.247376
114 132 2322 92.326900
114 132 2326 92.485947
114 132 2329 92.605232
108 60 2335 92.843803
108 60 2340 93.042612
108 60 2341 93.082374
110 60 2342 93.122136
108 60 2343 93.161897
108 60 2350 93.440230
108 60 2351 93.479992
108 58 2357 93.718563
228 28 2359 93.798086
228 28 2360 93.837848
228 28 2361 93.877610
228 28 2362 93.917372
228 28 2363 93.957133
228 28 2364 93.996895
228 28 2365 94.036657
228 28 2366 94.076419
228 28 2367 94.116181
228 28 2368 94.155942
228 28 2369 94.195704
228 28 2370 94.235466
228 28 2371 94.275228
228 28 2372 94.314990
228 28 2373 94.354751
228 28 2375 94.434275
228 28 2376 94.474037
228 28 2377 94.513799
228 28 2378 94.553560
228 28 2379 94.593322
228 28 2380 94.633084
228 28 2381 94.672846
228 28 2382 94.712608
228 28 2383 94.752369
228 28 2384 94.792131
134 200 2410 95.825938
80 158 2411 95.865700
80 158 2413 95.945223
82 158 2422 96.303080
82 158 2424 96.382603
82 158 2425 96.422365
82 158 2426 96.462127
80 158 2429 96.581412
80 158 2433 96.740459
80 158 2435 96.819983
80 158 2436 96.859745
190 80 2442 97.098316
190 80 2443 97.138077
190 80 2448 97.336886
190 80 2453 97.535695
190 80 2457 97.694743
190 80 2458 97.734504
190 80 2461 97.853790
230 126 2464 97.973075
230 126 2469 98.171884
230 126 2472 98.291170
230 126 2473 98.330931
230 126 2474 98.370693
230 126 2476 98.450217
230 126 2477 98.489979
230 126 2484 98.768311
230 126 2486 98.847835
230 126 2487 98.887597
148 82 2488 98.927358
148 82 2489 98.967120
148 82 2490 99.006882
148 82 2492 99.086406
148 82 2494 99.165929
148 82 2495 99.205691
148 82 2496 99.245453
148 82 2499 99.364738
148 82 2502 99.484024
148 82 2503 99.523785
148 82 2504 99.563547
148 82 2505 99.603309
148 82 2506 99.643071
148 82 2508 99.722594
148 82 2511 99.841880
88 200 2513 99.921403
116 156 2518 100.120212
116 156 2519 100.159974
116 156 2527 100.478069
116 156 2533 100.716639
116 156 2536 100.835925
116 156 2538 100.915448
192 152 2541 101.034734
192 152 2542 101.074496
192 152 2543 101.114257
192 152 2544 101.154019
192 152 2545 101.193781
192 152 2546 101.233543
192 152 2547 101.273305
192 152 2548 101.313066
192 152 2549 101.352828
192 152 2551 101.432352
192 152 2556 101.631161
192 152 2560 101.790208
192 152 2562 101.869732
70 66 2563 101.909493
70 64 2564 101.949255
70 66 2566 102.028779
70 66 2570 102.187826
70 66 2572 102.267350
70 64 2573 102.307111
70 66 2574 102.346873
70 66 2577 102.466159
70 66 2578 102.505920
70 66 2579 102.545682
72 64 2582 102.664968
70 66 2583 102.704729
70 66 2584 102.744491
70 66 2585 102.784253
70 66 2586 102.824015
118 200 2587 102.863777
70 66 2588 102.903538
156 176 2604 103.539727
134 200 2610 103.778298
228 54 2614 103.937345
228 54 2635 104.772343
226 54 2637 104.851867
190 128 2640 104.971152
190 128 2641 105.010914
190 128 2642 105.050676
190 128 2644 105.130199
190 128 2645 105.169961
190 128 2646 105.209723
190 128 2648 105.289246
190 128 2657 105.647103
190 128 2659 105.726626
146 34 2670 106.164006
146 34 2671 106.203768
146 34 2672 106.243530
146 34 2673 106.283291
146 34 2679 106.521862
146 34 2686 106.800195
230 170 2691 106.999004
266 124 2725 108.350905
266 124 2728 108.470190
266 124 2730 108.549714
266 124 2731 108.589476
78 136 2741 108.987094
78 136 2742 109.026856
78 136 2743 109.066617
78 136 2744 109.106379
78 136 2750 109.344950
78 136 2751 109.384712
116 198 2752 109.424474
132 200 2790 110.935422
228 78 2819 112.088514
228 78 2825 112.327085
228 78 2828 112.446370
228 78 2832 112.605418
228 78 2836 112.764465
228 78 2837 112.804227
228 78 2838 112.843988
228 78 2839 112.883750
228 78 2840 112.923512
106 38 2845 113.122321
106 38 2846 113.162083
106 38 2847 113.201845
106 38 2851 113.360892
106 38 2852 113.400654
106 38 2853 113.440415
106 38 2866 113.957319
106 38 2868 114.036842
146 58 2873 114.235651
146 58 2874 114.275413
118 200 2876 114.354937
146 58 2879 114.474222
146 58 2880 114.513984
146 58 2882 114.593508
146 58 2889 114.871840
146 58 2891 114.951364
146 58 2892 114.991126
42 116 2927 116.382789
150 132 2945 117.098501
150 132 2951 117.337072
118 200 2953 117.416595
150 132 2957 117.575643
150 132 2958 117.615404
150 132 2959 117.655166
150 132 2960 117.694928
150 132 2961 117.734690
150 132 2962 117.774452
150 130 2965 117.893737
150 130 2969 118.052784
152 132 2970 118.092546
262 30 3002 119.364924
264 52 3036 120.716825
264 52 3041 120.915634
118 178 3048 121.193966
118 178 3049 121.233728
118 178 3052 121.353014
118 178 3053 121.392775
118 178 3055 121.472299
118 178 3056 121.512061
118 178 3057 121.551823
118 178 3058 121.591584
118 178 3059 121.631346
118 178 3060 121.671108
118 178 3061 121.710870
118 178 3063 121.790393
118 178 3065 121.869917
118 178 3066 121.909679
118 178 3067 121.949441
118 178 3068 121.989202
118 178 3069 122.028964
118 178 3070 122.068726
118 178 3071 122.108488
118 178 3072 122.148250
184 32 3088 122.784438
184 32 3090 122.863962
184 32 3091 122.903724
184 32 3092 122.943486
184 32 3093 122.983247
184 32 3094 123.023009
184 32 3095 123.062771
184 32 3096 123.102533
184 32 3097 123.142295
152 156 3099 123.221818
152 156 3104 123.420627
152 156 3109 123.619436
152 156 3110 123.659198
152 156 3118 123.977292
152 156 3119 124.017054
228 150 3129 124.414672
228 150 3131 124.494196
228 150 3133 124.573719
228 150 3140 124.852052
228 150 3142 124.931576
106 86 3149 125.209908
106 86 3159 125.607526
108 86 3161 125.687050
106 86 3169 126.005144
106 86 3170 126.044906
106 86 3171 126.084668
106 86 3172 126.124430
264 78 3177 126.323239
132 200 3185 126.641333
264 78 3187 126.720857
264 76 3195 127.038951
264 78 3196 127.078713
264 78 3197 127.118475
228 102 3200 127.237760
228 102 3205 127.436569
228 102 3208 127.555854
