x  y  frame  time(s)
304 250 2355 39.266328
306 254 2357 39.299675
306 254 2358 39.316349
308 258 2364 39.416390
314 266 2371 39.533106
316 268 2373 39.566453
316 268 2374 39.583126
316 270 2375 39.599800
316 272 2376 39.616474
320 274 2380 39.683168
324 280 2384 39.749862
324 284 2386 39.783210
324 284 2387 39.799883
330 288 2401 40.033314
328 290 2402 40.049987
328 290 2405 40.100008
330 288 2406 40.116682
328 288 2407 40.133355
328 288 2408 40.150029
328 288 2409 40.166702
328 288 2410 40.183376
328 288 2411 40.200050
328 288 2412 40.216723
330 288 2418 40.316765
328 288 2423 40.400133
330 286 2426 40.450154
328 286 2427 40.466827
330 286 2434 40.583542
330 286 2437 40.633563
328 286 2439 40.666910
324 282 2444 40.750278
324 282 2445 40.766952
322 282 2447 40.800299
316 276 2452 40.883667
310 270 2457 40.967035
310 270 2458 40.983709
302 264 2462 41.050403
302 264 2463 41.067077
300 262 2464 41.083750
296 262 2465 41.100424
296 262 2466 41.117098
294 258 2469 41.167118
294 258 2470 41.183792
290 256 2471 41.200466
290 254 2472 41.217139
284 252 2476 41.283834
282 250 2477 41.300507
280 248 2480 41.350528
274 246 2486 41.450570
274 244 2490 41.517264
274 244 2491 41.533938
272 246 2493 41.567285
272 246 2496 41.617306
272 244 2497 41.633979
272 244 2498 41.650653
272 246 2505 41.767368
272 246 2506 41.784042
272 246 2510 41.850736
272 246 2511 41.867410
272 244 2515 41.934104
272 244 2516 41.950778
272 246 2518 41.984125
274 246 2523 42.067493
274 246 2524 42.084166
274 246 2525 42.100840
272 246 2527 42.134187
270 248 2531 42.200882
266 256 2538 42.317597
266 258 2539 42.334270
264 262 2542 42.384291
264 268 2544 42.417638
260 268 2545 42.434312
260 268 2546 42.450986
262 270 2547 42.467659
250 292 2558 42.651069
250 292 2559 42.667742
252 292 2560 42.684416
244 304 2569 42.834478
246 304 2570 42.851152
246 304 2571 42.867826
242 306 2573 42.901173
242 306 2574 42.917846
242 306 2575 42.934520
240 308 2583 43.067909
240 308 2584 43.084582
242 308 2585 43.101256
240 308 2589 43.167950
240 308 2593 43.234645
240 308 2598 43.318013
242 306 2615 43.601464
242 306 2616 43.618138
242 306 2617 43.634811
242 306 2620 43.684832
242 306 2621 43.701506
242 306 2622 43.718179
242 306 2623 43.734853
242 308 2626 43.784874
242 306 2629 43.834894
242 306 2630 43.851568
246 308 2634 43.918262
254 308 2643 44.068325
258 308 2645 44.101672
258 308 2646 44.118346
260 310 2648 44.151693
262 310 2649 44.168366
266 312 2650 44.185040
266 312 2651 44.201714
274 312 2657 44.301755
274 312 2658 44.318429
280 312 2661 44.368450
286 312 2664 44.418470
290 312 2669 44.501838
294 314 2673 44.568533
294 312 2674 44.585206
294 312 2675 44.601880
296 312 2677 44.635227
296 312 2679 44.668574
296 312 2680 44.685248
296 314 2684 44.751942
296 312 2685 44.768616
296 314 2687 44.801963
296 314 2688 44.818637
298 314 2694 44.918678
296 314 2700 45.018720
296 314 2701 45.035394
296 316 2711 45.202130
296 314 2720 45.352192
296 314 2721 45.368866
296 314 2725 45.435560
296 314 2726 45.452234
296 312 2727 45.468907
288 306 2736 45.618970
286 304 2737 45.635643
286 304 2738 45.652317
282 302 2740 45.685664
280 298 2741 45.702338
280 298 2742 45.719011
280 294 2743 45.735685
270 286 2746 45.785706
270 286 2747 45.802379
246 254 2760 46.019136
242 248 2761 46.035810
236 242 2764 46.085830
236 240 2765 46.102504
232 236 2766 46.119178
232 236 2767 46.135851
224 230 2770 46.185872
222 228 2771 46.202546
222 228 2772 46.219219
214 220 2780 46.352608
214 218 2782 46.385955
214 216 2787 46.469323
214 216 2788 46.485997
214 216 2793 46.569365
214 218 2794 46.586038
214 216 2796 46.619386
214 216 2797 46.636059
214 216 2804 46.752774
214 216 2805 46.769448
214 216 2806 46.786122
214 216 2807 46.802795
216 216 2811 46.869490
216 216 2812 46.886163
216 216 2813 46.902837
214 218 2814 46.919510
214 218 2815 46.936184
214 216 2816 46.952858
216 216 2817 46.969531
216 216 2818 46.986205
214 216 2819 47.002878
214 220 2826 47.119594
214 220 2829 47.169614
214 220 2830 47.186288
222 236 2840 47.353024
226 248 2845 47.436392
236 268 2852 47.553107
238 272 2853 47.569781
244 284 2857 47.636475
248 290 2860 47.686496
252 302 2864 47.753190
260 314 2869 47.836558
260 318 2870 47.853232
260 318 2871 47.869906
260 322 2872 47.886579
264 324 2874 47.919926
264 324 2875 47.936600
266 334 2881 48.036642
266 336 2885 48.103336
270 336 2886 48.120010
268 336 2887 48.136683
268 334 2890 48.186704
270 334 2894 48.253398
268 334 2895 48.270072
268 334 2896 48.286746
268 336 2902 48.386787
270 336 2903 48.403461
268 334 2906 48.453482
268 334 2907 48.470155
268 336 2908 48.486829
268 336 2909 48.503502
266 334 2917 48.636891
266 334 2918 48.653565
266 334 2925 48.770280
266 334 2926 48.786954
268 334 2933 48.903669
268 332 2944 49.087078
268 330 2945 49.103752
268 330 2946 49.120426
270 332 2947 49.137099
270 332 2949 49.170446
274 322 2956 49.287162
280 306 2963 49.403877
280 306 2964 49.420550
284 304 2965 49.437224
284 300 2966 49.453898
284 300 2967 49.470571
296 284 2973 49.570613
318 246 2986 49.787370
322 236 2990 49.854064
324 234 2991 49.870738
324 232 2992 49.887411
326 228 2993 49.904085
326 228 2994 49.920758
330 224 3000 50.020800
330 224 3001 50.037474
328 222 3004 50.087494
328 222 3005 50.104168
330 224 3008 50.154189
328 222 3009 50.170862
328 222 3010 50.187536
328 224 3017 50.304251
328 226 3023 50.404293
328 224 3027 50.470987
330 224 3030 50.521008
330 224 3031 50.537682
330 226 3034 50.587702
330 226 3035 50.604376
330 226 3040 50.687744
330 224 3042 50.721091
330 224 3043 50.737765
330 224 3048 50.821133
330 224 3049 50.837806
328 226 3050 50.854480
328 226 3051 50.871154
328 226 3053 50.904501
328 226 3054 50.921174
328 226 3055 50.937848
328 226 3056 50.954522
330 226 3059 51.004542
330 226 3060 51.021216
326 228 3062 51.054563
326 228 3063 51.071237
328 228 3064 51.087910
326 230 3066 51.121258
326 230 3067 51.137931
326 230 3068 51.154605
326 234 3069 51.171278
324 234 3070 51.187952
324 236 3071 51.204626
324 236 3072 51.221299
320 244 3078 51.321341
